band_1,band_1_label,band_2,band_2_label,adjacent,metric,contrast,n,mean,median,sd,p025,p975
24-26N,24–26°N,28-30N,28–30°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,-0.054395552706885314,-0.04510196706090158,0.07888207803611069,-0.22474004649452167,0.07937034230137664
24-26N,24–26°N,28-30N,28–30°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.333908328678912,-0.3409227327294554,0.15418478988275225,-0.6363636363636364,-0.05004281667874347
24-26N,24–26°N,28-30N,28–30°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.27951277597202673,0.2995900175655738,0.1803807251375166,-0.007793291860328011,0.6168643261500403
24-26N,24–26°N,28-30N,28–30°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,-0.06380840036730966,-0.05584772452092018,0.09255935911863068,-0.2589786585365853,0.09947757780368528
24-26N,24–26°N,28-30N,28–30°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.28850763829692666,-0.298588666235725,0.11373298510582405,-0.4880952380952381,-0.05454204332253114
24-26N,24–26°N,28-30N,28–30°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.224699237929617,0.24728158431618888,0.14653461632646309,-0.01942576880685051,0.4678499803513361
24-26N,24–26°N,30-32N,30–32°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,-0.07929179938957703,-0.07135142250800469,0.07791444402970811,-0.23535465033471023,0.05744453650004603
24-26N,24–26°N,30-32N,30–32°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.15707199485158918,-0.15150294239738232,0.13104580875187144,-0.4210742609949531,0.06060606060606066
24-26N,24–26°N,30-32N,30–32°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.07778019546201212,0.04325949266462503,0.12601956810460366,-0.09382418353603138,0.37192959134135567
24-26N,24–26°N,30-32N,30–32°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,-0.0976925544350709,-0.09200111470496247,0.09435858753997614,-0.2808421914541502,0.07500090187590182
24-26N,24–26°N,30-32N,30–32°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.1691524917316032,-0.16951162263662262,0.13652662736603957,-0.4298283331178069,0.0714285714285714
24-26N,24–26°N,30-32N,30–32°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.0714599372965323,0.03858717629492339,0.13063188905286943,-0.12011728510567511,0.3549297011052117
26-28N,26–28°N,28-30N,28–30°N,True,jaccard_total,ballooning_minus_non_ballooning,5000,-0.020993887202689708,-0.016300322061191586,0.08913384718440193,-0.2012131879778939,0.14583333333333337
26-28N,26–28°N,28-30N,28–30°N,True,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.09294789944759295,-0.08611111111111114,0.1550740161452796,-0.42644080501223364,0.18797102921816883
26-28N,26–28°N,28-30N,28–30°N,True,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.07195401224490323,0.06283747212539781,0.11010505174548228,-0.11635753124239077,0.3265518715706785
26-28N,26–28°N,28-30N,28–30°N,True,sorensen_total,ballooning_minus_non_ballooning,5000,-0.021513121711952028,-0.019926854754441004,0.10398653452716615,-0.22289705511993244,0.18132594417077166
26-28N,26–28°N,28-30N,28–30°N,True,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.08944312709141237,-0.09230769230769231,0.152756989992383,-0.3888888888888889,0.2084431977559606
26-28N,26–28°N,28-30N,28–30°N,True,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.06793000537946034,0.06506534137753381,0.1019810301443723,-0.11791485918038708,0.2820852185778099
26-28N,26–28°N,30-32N,30–32°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,-0.09210806753325793,-0.09338931508742832,0.060190769861995085,-0.20748746753685288,0.030294449737442126
26-28N,26–28°N,30-32N,30–32°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.3081775625330139,-0.29747712549255323,0.14191613133796288,-0.6095319264069264,-0.06342052004842703
26-28N,26–28°N,30-32N,30–32°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.21606949499975603,0.20161531208042832,0.13710206871956654,0.007117946924158192,0.5220198611055233
26-28N,26–28°N,30-32N,30–32°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,-0.12124174576795434,-0.12401050832641491,0.07827088283086006,-0.26777087646652864,0.04173335201924648
26-28N,26–28°N,30-32N,30–32°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.31362946601240915,-0.3137740866942904,0.12218515621700458,-0.548490675990676,-0.07689075630252143
26-28N,26–28°N,30-32N,30–32°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.19238772024445483,0.18799649198103593,0.11254242606948464,0.0006772394096708159,0.42719168035920696
28-30N,28–30°N,30-32N,30–32°N,True,jaccard_total,ballooning_minus_non_ballooning,5000,0.07609855573044384,0.07948442534908706,0.06530902145403414,-0.06060651533340615,0.19483870967741934
28-30N,28–30°N,30-32N,30–32°N,True,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.23429873527894898,-0.23469387755102045,0.1408348469364885,-0.5146198830409356,0.022238749046529158
28-30N,28–30°N,30-32N,30–32°N,True,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.3103972910093928,0.31236947714308394,0.1225299080903972,0.09393716197555099,0.5481338432246436
28-30N,28–30°N,30-32N,30–32°N,True,sorensen_total,ballooning_minus_non_ballooning,5000,0.0984342562455304,0.10299132442318842,0.08406655819182589,-0.07744740639477479,0.250533642330544
28-30N,28–30°N,30-32N,30–32°N,True,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.2155656100786674,-0.2222222222222222,0.12038345704589085,-0.4375240384615385,0.022754329004328645
28-30N,28–30°N,30-32N,30–32°N,True,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.3139998663241978,0.32237277590571306,0.10147142427531076,0.11768693669373505,0.493506918284555
