band_1,band_1_label,band_2,band_2_label,adjacent,trait_class,trait_label,metric,n,mean,median,sd,p025,p975
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,jaccard_turnover,5000,0.39377602341617784,0.38461538461538464,0.14767662969602224,0.11764705882352941,0.6666666666666666
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.2322449050353766,0.2488095238095238,0.16012784787466716,0.0,0.5494505494505495
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,sorensen_total,5000,0.46115005448882795,0.45454545454545453,0.0905789918058549,0.3,0.6595744680851063
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,simpson_replacement,5000,0.25598379684194594,0.23809523809523808,0.1186190121064639,0.0625,0.5
24-26N,24–26°N,26-28N,26–28°N,True,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.205166257646882,0.2181818181818182,0.1376224751173893,0.0,0.4666666666666666
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,shared_genera,5000,19.9774,20.0,3.5399146090107623,13.0,27.0
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,unique_to_band_1,5000,27.6642,29.0,8.349621643902152,13.0,41.0
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,unique_to_band_2,5000,7.0432,6.0,3.2163648363567385,2.0,14.0
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,jaccard_total,5000,0.6312867529680722,0.6381144534115921,0.061818907485037745,0.5,0.7333333333333333
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.398306500232227,0.3888888888888889,0.13523470026081594,0.14814814814814814,0.6521739130434783
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.23298025273584516,0.23061084420041184,0.126136602297833,0.012193887627135393,0.4743206596734748
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,sorensen_total,5000,0.4641569629803646,0.46855221518987344,0.06501302512850218,0.3333333333333333,0.5789473684210527
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,simpson_replacement,5000,0.2577738045087965,0.2413793103448276,0.10828987056267866,0.08,0.4838709677419355
24-26N,24–26°N,26-28N,26–28°N,True,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.20638315847156805,0.21030544797668083,0.1030468102492249,0.011443571048834242,0.39450056116722787
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,shared_genera,5000,9.0176,9.0,1.7752522480224668,6.0,12.0
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,unique_to_band_1,5000,19.6656,24.0,8.704420143008102,6.0,31.0
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,unique_to_band_2,5000,2.459,2.0,1.601883955360465,0.0,6.0
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_total,5000,0.6953451649181378,0.7105263157894737,0.07345248796585446,0.5293343653250774,0.8076923076923077
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_turnover,5000,0.3288256952696426,0.3076923076923077,0.1713579471164948,0.0,0.6666666666666666
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.3665194696484952,0.42687747035573126,0.20204031538178835,0.022875816993464082,0.7368421052631579
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,sorensen_total,5000,0.537684826612887,0.5510204081632653,0.08392396168824323,0.35992857142857143,0.6774193548387096
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,simpson_replacement,5000,0.20980087412587414,0.18181818181818182,0.1281052603617608,0.0,0.5
24-26N,24–26°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.32788395248701285,0.38265306122448983,0.16875529437551906,0.022792022792022748,0.5833333333333334
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,shared_genera,5000,15.8834,16.0,2.9444759173213724,10.0,21.0
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,unique_to_band_1,5000,31.7582,32.0,9.037215667084784,15.0,46.0
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,unique_to_band_2,5000,16.2906,16.0,3.588248423026069,10.0,23.0
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_total,5000,0.7497407176250231,0.7532467532467533,0.04235084006524882,0.6607142857142857,0.8269531249999995
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.6627340239485546,0.6666666666666666,0.056851702075976306,0.55,0.7777777777777778
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.0870066936764685,0.08249672632038407,0.05443586342514672,0.004429659487799015,0.2046944711516589
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,sorensen_total,5000,0.6014932269801966,0.6041666666666666,0.05394734167259665,0.49333333333333335,0.7049617486338792
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,simpson_replacement,5000,0.4983085124228008,0.5,0.06411613511743404,0.3793103448275862,0.6363636363636364
24-26N,24–26°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.10318471455739586,0.09947409733124024,0.06300758005007571,0.005805515239477477,0.2370505521048998
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,shared_genera,5000,15.419,14.0,5.567013322012576,7.0,26.0
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_1,5000,13.2642,12.0,6.808382272892348,3.0,25.0
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_2,5000,22.2464,21.0,7.352611727804208,11.0,38.0
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_total,5000,0.7037651236827651,0.717948717948718,0.07162412479113628,0.5624725877192982,0.8181818181818182
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_turnover,5000,0.5785027809763993,0.5833333333333334,0.11034659837965985,0.3333333333333333,0.75
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.1252623427063658,0.08511904761904765,0.11375246703635876,0.005367231638418124,0.42584523809523783
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_total,5000,0.5475564501725649,0.56,0.08388404095461088,0.3912778366914104,0.6923076923076923
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,simpson_replacement,5000,0.41526534188846836,0.4117647058823529,0.10739331646366565,0.2,0.6
24-26N,24–26°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.13229110828409651,0.09038737446197997,0.11408095118116897,0.006388336332922811,0.419047619047619
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,shared_genera,5000,15.4496,16.0,3.236163529687302,9.0,21.0
