grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,orientation,parameter_valid
BJA25K_C+0016_R-0018,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.9087053498182514,0.02402637635273722,1,1
BJA25K_C+0016_R-0018,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.024224970766893335,0.0848779272478714,-1,1
BJA25K_C+0016_R-0018,chirps_heavy_rain_days_gt20mm,2001,2020,20,3.6499390057944496,2.1053322647815245,1,1
BJA25K_C+0016_R-0018,chirps_max_1day_precipitation_mm,2001,2020,20,61.991816310498656,30.752800525063392,1,1
BJA25K_C+0016_R-0018,terraclimate_climate_water_deficit_mm,2001,2020,20,1349.5703471771578,117.68093648709653,1,1
BJA25K_C+0016_R-0018,terraclimate_pdsi_mean,2001,2020,20,0.10940751856658734,2.4594098002502056,-1,1
BJA25K_C+0016_R-0018,terraclimate_pdsi_min,2001,2020,20,-2.288998918451222,2.153253403520645,-1,1
BJA25K_C+0016_R-0018,terraclimate_soil_moisture_mean_mm,2001,2020,20,15.132042144350711,7.880045260247881,-1,1
BJA25K_C+0016_R-0018,terraclimate_aet_pet_ratio,2001,2020,20,0.18912318984567592,0.06276781930857246,-1,1
BJA25K_C+0016_R-0018,modis_evi_mean,2001,2020,20,0.1933683059962071,0.02515573813928806,-1,1
BJA25K_C+0016_R-0018,modis_evi_p10,2001,2020,20,0.12536495934147202,0.014681260090788316,-1,1
BJA25K_C-0010_R+0013,era5_mean_temperature_c,2001,2020,20,17.183327236518632,0.6862593320772301,1,1
BJA25K_C-0010_R+0013,era5_p95_daily_max_temperature_c,2001,2020,20,27.080966872354235,0.8253256649300107,1,1
BJA25K_C-0010_R+0013,era5_annual_max_temperature_c,2001,2020,20,30.401401732769948,1.0861714316607203,1,1
BJA25K_C-0010_R+0013,era5_hot_days_35c,2001,2020,20,0.0018306636155606408,0.008186976576658268,1,1
BJA25K_C-0010_R+0013,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C-0010_R+0013,era5_mean_vpd_kpa,2001,2020,20,0.6273668919203724,0.047701559973616886,1,1
BJA25K_C-0010_R+0013,era5_p95_vpd_kpa,2001,2020,20,1.1682768073469276,0.11678405190875817,1,1
BJA25K_C-0010_R+0013,era5_high_vpd_day_fraction,2001,2020,20,,,1,0
BJA25K_C-0010_R+0013,era5_mean_rootzone_soil_water,2001,2020,20,0.11664349068051465,0.0149627747511184,-1,1
BJA25K_C-0010_R+0013,modis_lst_day_mean_c,2001,2020,20,32.38612691637208,1.4625325273934016,1,1
BJA25K_C-0010_R+0013,modis_lst_day_p95_c,2001,2020,20,42.448167010692345,1.6266461687970504,1,1
BJA25K_C-0010_R+0013,modis_lst_day_max_c,2001,2020,20,47.52618033179901,2.3791939418277237,1,1
BJA25K_C-0010_R+0013,modis_lst_night_mean_c,2001,2020,20,10.293783532249769,0.9566651802565931,1,1
BJA25K_C-0010_R+0013,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.03538014216289042,0.023246594685147805,1,1
BJA25K_C-0010_R+0013,chirps_annual_precipitation_mm,2001,2020,20,132.68786651893907,24.932404349777013,-1,1
BJA25K_C-0010_R+0013,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9536499343941596,0.005722200550442224,1,1
BJA25K_C-0010_R+0013,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.9480756642756507,0.00968750425735179,1,1
BJA25K_C-0010_R+0013,chirps_minimum_monthly_precipitation_mm,2001,2020,20,1.3182121401753537e-05,5.895223908395145e-05,-1,1
BJA25K_C-0010_R+0013,chirps_heavy_rain_days_gt20mm,2001,2020,20,1.1015942649261714,0.5225810180317143,1,1
BJA25K_C-0010_R+0013,chirps_max_1day_precipitation_mm,2001,2020,20,24.8623952535039,9.037480703764025,1,1
BJA25K_C-0010_R+0013,terraclimate_climate_water_deficit_mm,2001,2020,20,1022.0020021218555,71.81038594378637,1,1
BJA25K_C-0010_R+0013,terraclimate_pdsi_mean,2001,2020,20,-1.1570067002627062,2.021206218647928,-1,1
BJA25K_C-0010_R+0013,terraclimate_pdsi_min,2001,2020,20,-2.8751615641103374,1.2939812616980577,-1,1
BJA25K_C-0010_R+0013,terraclimate_soil_moisture_mean_mm,2001,2020,20,2.631480878043852,2.5287977196890306,-1,1
BJA25K_C-0010_R+0013,terraclimate_aet_pet_ratio,2001,2020,20,0.123239787947052,0.049954788651524605,-1,1
BJA25K_C-0010_R+0013,modis_evi_mean,2001,2020,20,0.13731728604356905,0.025949551779590192,-1,1
