model_id,omitted_cell,n_pairs,n_cells,coefficient,status
E_SENSITIVITY_COMPOSITE_MAX,BJA25K_C-0013_R+0019,14,11,0.07240872662399024,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0013_R-0015,13,11,0.11371206437910983,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0013_R-0016,13,11,0.057267421737232704,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0013_R-0018,14,11,-0.06856542060621044,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0014_R-0017,13,11,0.06680514148526245,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0015_R-0018,14,11,0.12186966001101784,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C+0016_R-0018,14,11,0.08812043066669112,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0010_R+0013,14,11,0.08047282752767188,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0011_R+0015,14,11,0.0673473943943316,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0011_R+0016,14,11,0.10002937528677301,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0012_R+0018,14,11,0.08710965807978643,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0012_R+0019,14,11,0.06938830201199084,OK
E_SENSITIVITY_COMPOSITE_BURDEN,BJA25K_C-0013_R+0019,14,11,0.1318302660226169,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0013_R-0015,13,11,-0.05309617402598932,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0013_R-0016,13,11,0.0026718043955941623,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0013_R-0018,14,11,-0.06668474971529213,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0014_R-0017,13,11,0.028793468884645977,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0015_R-0018,14,11,-0.011133854801202214,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C+0016_R-0018,14,11,-0.04585769154693431,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0010_R+0013,14,11,-0.031446992934238194,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0011_R+0015,14,11,-0.0292105575777859,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0011_R+0016,14,11,-0.02831630625729764,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0012_R+0018,14,11,-0.02923995711290006,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0012_R+0019,14,11,-0.027257172796184115,OK
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,BJA25K_C-0013_R+0019,14,11,-0.02897299081235999,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0013_R-0015,13,11,-0.01745338667161995,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0013_R-0016,13,11,-0.035552202913839655,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0013_R-0018,14,11,-0.08099969615305812,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0014_R-0017,13,11,-0.005141378216522718,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0015_R-0018,14,11,0.027434235379679595,OK
E_SENSITIVITY_JACCARD,BJA25K_C+0016_R-0018,14,11,-0.011805121908335226,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0010_R+0013,14,11,-0.005353031745667217,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0011_R+0015,14,11,-0.02151142610953886,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0011_R+0016,14,11,0.012934284866905427,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0012_R+0018,14,11,-0.00915377344027284,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0012_R+0019,14,11,-0.008191359658374324,OK
E_SENSITIVITY_JACCARD,BJA25K_C-0013_R+0019,14,11,0.020424599541804242,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0013_R-0015,13,11,0.162308995876919,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0013_R-0016,13,11,0.1732325766691111,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0013_R-0018,14,11,0.11928272975768986,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0014_R-0017,13,11,0.1925929574695601,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0015_R-0018,14,11,0.20126525645461946,OK
E_CONTROL_EFFORT_TIME,BJA25K_C+0016_R-0018,14,11,0.18568785244387603,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0010_R+0013,14,11,0.1299363910344453,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0011_R+0015,14,11,0.18195809853018022,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0011_R+0016,14,11,0.21804448836479753,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0012_R+0018,14,11,0.16857004058093006,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0012_R+0019,14,11,0.17229231935126335,OK
E_CONTROL_EFFORT_TIME,BJA25K_C-0013_R+0019,14,11,0.18325558783951154,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0013_R-0015,13,11,0.14311687586542898,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0013_R-0016,13,11,0.17795483015482533,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0013_R-0018,14,11,0.08154756625131522,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0014_R-0017,13,11,0.1792987533373165,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0015_R-0018,14,11,0.19472980456666497,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C+0016_R-0018,14,11,0.177470005428793,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0010_R+0013,14,11,0.12900193324675469,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0011_R+0015,14,11,0.171706597437198,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0011_R+0016,14,11,0.21394213456838554,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0012_R+0018,14,11,0.1624174516082137,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0012_R+0019,14,11,0.1557239769384649,OK
E_CONTROL_EFFORT_ONLY,BJA25K_C-0013_R+0019,14,11,0.17111664797974016,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0013_R-0015,13,11,0.10394895837825022,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0013_R-0016,13,11,0.1251235376828211,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0013_R-0018,14,11,0.02468536171379519,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0014_R-0017,13,11,0.14148918721393594,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0015_R-0018,14,11,0.13684545830886363,OK
E_CONTROL_UNADJUSTED,BJA25K_C+0016_R-0018,14,11,0.1213588590635736,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0010_R+0013,14,11,0.09074140365813313,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0011_R+0015,14,11,0.12451835814675827,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0011_R+0016,14,11,0.15400551938589163,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0012_R+0018,14,11,0.11120537815601039,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0012_R+0019,14,11,0.1447198332979296,OK
E_CONTROL_UNADJUSTED,BJA25K_C-0013_R+0019,14,11,0.11126293564468194,OK
